install_datetime,google_aid,device_manufacturer,appmetrica_device_id,os_name,os_version
2025-11-06 08:38:17,,Realme,10922195246542456248,android,13
2025-11-14 07:53:39,,Itel,7248299527040923251,android,12
2025-11-16 11:20:34,,Motorola,11741472437569851826,android,16
2025-11-18 19:14:20,,Xiaomi,11373051179496764087,android,14
2025-11-18 12:28:55,,Premio,14827390930273723656,android,11
2025-11-20 20:36:53,,Samsung,1068264351751349804,android,12
2025-11-21 02:46:57,,Samsung,1265831155194619579,android,15
2025-11-22 16:31:32,,TCL,6865865330384276093,android,13
2025-11-23 16:44:06,,Oppo,6309764600082180356,android,9
2025-11-26 09:40:04,,Zte,1105805128719636775,android,13
2025-11-27 21:59:05,,Redmi,2732798196806247771,android,15
2025-11-27 14:29:18,9c498d60-0840-442b-bc39-e894073b5069,Tecno,14583678694038479600,android,14
2025-11-30 20:17:17,,Samsung,2682601305248426687,android,15
2025-11-30 13:35:25,f4849c91-ff84-4841-9666-5382144d15e2,Samsung,16556206669536250157,android,15
2025-11-15 18:14:16,,Redmi,5782244198975523432,android,15
2025-11-15 17:05:43,,Realme,13386824020239511149,android,13
2025-11-16 22:01:00,,Motorola,1652781157334756509,android,15
2025-11-17 01:37:57,,Vivo,12824359231292200154,android,15
2025-11-17 01:29:37,,Samsung,15429898106183357306,android,12
2025-11-18 14:40:02,,Samsung,1575079108924342617,android,13
2025-11-18 02:14:15,,Redmi,14736008505971679764,android,14
2025-11-19 03:48:56,,Samsung,18021191590246818226,android,12
2025-11-21 18:15:29,,Infinix,10994253430296349944,android,13
2025-11-21 06:31:13,,Motorola,14553830023644248080,android,14
2025-11-21 22:11:33,,Samsung,16404457416661704182,android,15
2025-11-21 17:38:19,,Samsung,11184132053996150373,android,9
2025-11-22 05:27:12,,Motorola,688898335935104444,android,11
2025-11-22 16:30:55,,Blu,6390414283679974864,android,14
2025-11-22 01:02:21,,Realme,12572191773770079569,android,15
2025-11-22 23:50:36,,Samsung,16503903074924511861,android,14
2025-11-23 20:42:25,,Redmi,6444510501973945220,android,15
2025-11-23 04:56:34,,Samsung,10069083959037730718,android,16
2025-11-23 01:59:51,7e0048a1-17d6-4058-b9b8-4d9dd77f07a4,Xiaomi,13893239224519119063,android,10
2025-11-24 09:45:51,,Redmi,2145326058953232747,android,10
2025-11-24 19:50:53,,Redmi,2510392508935645699,android,13
2025-11-24 19:18:22,,Samsung,7794869310715315587,android,16
2025-11-25 13:45:17,,Oppo,2407656604623165449,android,11
2025-11-25 14:24:38,,Redmi,5724563523475141084,android,14
2025-11-25 21:52:09,c9e0b296-d516-4571-ba74-78c254eb16bf,Oppo,12699091197663627937,android,10
2025-11-25 03:04:25,f896324f-ebea-401e-bb47-035fb8de3b19,Vivo,16110601764440396289,android,10
2025-11-25 15:15:21,,Redmi,18361266339146514038,android,10
2025-11-26 05:52:22,,Redmi,2384132153880730986,android,15
2025-11-26 15:40:51,,Sharp,9354596728126688281,android,15
2025-11-27 04:29:31,,Samsung,10751884330638301209,android,13
2025-11-28 16:35:13,,Samsung,173435892912473049,android,13
2025-11-28 14:11:06,,Samsung,7559665505898657158,android,14
2025-11-28 16:43:11,,Redmi,10638357559698669978,android,14
2025-11-29 02:05:10,,Oppo,1404548213780721684,android,13
2025-11-29 09:45:34,,Redmi,1445665955062464792,android,15
2025-11-29 00:25:28,,Motorola,1876233185106809976,android,11
2025-11-29 20:15:28,,Motorola,5579826818471641085,android,14
2025-11-29 19:04:30,,Nokia,18353303473876053717,android,11
2025-11-29 01:44:43,,Samsung,2145129131156223461,android,16
2025-11-30 08:51:21,,Redmi,1270594878136825413,android,13
2025-11-30 02:27:52,,Infinix,9535341913252107818,android,14
2025-11-30 01:19:42,,Realme,10564776198518664332,android,11
2025-11-30 05:26:49,,Samsung,10915751497902492728,android,15
2025-11-30 11:00:04,,Oppo,2218816416288242012,android,9
2025-11-11 22:23:33,,Samsung,9950034908671381236,android,10
2025-11-16 20:57:58,15e74bb2-2072-4463-9c13-5a4e3f69b13d,Motorola,2722147486779076707,android,8.1.0
2025-11-18 18:44:00,,Redmi,3481371484394786918,android,13
2025-11-18 05:55:12,,Redmi,9870861750141366962,android,14
2025-11-20 23:44:19,,Samsung,1809878203382862265,android,14
2025-11-20 05:45:28,,Samsung,12317263702510202383,android,14
2025-11-22 08:48:24,,Redmi,6924325876374604921,android,10
2025-11-23 00:43:56,,Redmi,4117793757486434451,android,10
2025-11-25 02:14:50,,Samsung,318049119394711382,android,9
2025-11-25 06:55:42,,Realme,7770584175644490383,android,13
2025-11-25 14:55:40,,Samsung,10660277938519224804,android,14
2025-11-26 05:01:47,,Redmi,4094714402917305128,android,15
2025-11-26 15:46:32,,Redmi,12653623388517291287,android,13
2025-11-28 18:52:26,,Samsung,16024549187640025971,android,15
2025-11-28 13:19:57,,Oppo,17738113359586545020,android,13
2025-11-29 07:20:05,,Redmi,5563301586927066607,android,13
2025-11-30 05:39:11,6dce0827-4e7a-403a-b78c-db9c8be1fdbd,Redmi,12931936992954138595,android,13
2025-11-13 20:04:03,,Samsung,13901369729112247355,android,11
2025-11-15 15:29:06,,Samsung,491961867295938692,android,9
2025-11-15 18:42:48,536ca8ce-4e5b-410c-89af-8866f3a7c9e5,Samsung,4044292075466713342,android,11
2025-11-15 03:13:19,,Samsung,9612646853323815659,android,16
2025-11-16 06:33:13,,Motorola,1797368796675640337,android,11
2025-11-16 21:20:01,,Samsung,6353592799745099472,android,12
2025-11-17 18:55:27,,Redmi,10267761210470549934,android,14
2025-11-17 14:17:33,e19ee4af-0499-4227-9dad-af9d570c1107,Samsung,13041397804902440177,android,15
2025-11-17 04:56:39,,POCO,13394073225988468321,android,14
2025-11-19 17:30:49,,Samsung,4066683065647854978,android,11
2025-11-20 09:45:37,,Samsung,11187772679618557690,android,15
2025-11-24 17:19:10,,Samsung,5652360769621713114,android,15
2025-11-25 08:41:16,,Oppo,1060508509125114452,android,12
2025-11-25 14:00:28,5c9d5943-c7d6-439c-b9f3-cd4dc54eb5d8,Infinix,401559732909272988,android,11
2025-11-25 18:21:15,,Redmi,6152827549248620390,android,11
2025-11-26 00:57:36,faaddd98-411c-4fcd-8983-d628f68ac7c4,Motorola,648939859775530298,android,13
2025-11-26 13:25:04,,Redmi,7526447213442126970,android,15
2025-11-27 15:37:33,,LG,6720470573123322103,android,10
2025-11-28 18:11:28,,Realme,2650738584831899678,android,14
2025-11-28 10:41:57,,Samsung,5667924116932489381,android,14
2025-11-28 21:30:02,,Samsung,5702610629516051029,android,16
2025-11-28 15:54:05,,Motorola,8420138236133079346,android,11
2025-11-28 15:38:05,,Samsung,11491073336355053416,android,14
2025-11-28 11:10:22,,Honor,14173304614179397589,android,14
2025-11-29 02:01:53,,Redmi,16152320344386193094,android,15
2025-11-29 11:50:31,,Redmi,18423486495527975413,android,10
2025-11-30 11:50:05,,Samsung,5066925715008966857,android,13
2025-11-30 22:20:18,9bcdfdda-2a2e-42a6-9890-b2a04aa95eb6,Samsung,6797578950797009681,android,16
2025-11-30 20:33:39,,Redmi,7414699769835187177,android,10
2025-11-30 18:20:09,,Deutsche Telekom,11278957424168888165,android,14
